"ForestTypeGroup","AgeGroup","carbon","carbon_se","TYPGRPCD","cumTDEE","cumTDEE_ubSE","cumTDEE_lbSE","joint_c"
"Loblolly / shortleaf pine",50,94.58723128,1.718991496,160,38.8239695,40.46917771,37.1787613,55.76326178
"Loblolly / shortleaf pine",60,97.26155716,1.849227675,160,40.89044934,42.53867137,39.2422273,56.37110782
"Loblolly / shortleaf pine",70,102.293801,2.717547986,160,42.24133416,45.84535481,38.63731352,60.05246684
"Loblolly / shortleaf pine",80,110.7959636,4.345025447,160,41.85383342,46.90860956,36.79905727,68.94213018
"Loblolly / shortleaf pine",90,100.6400442,5.77735682,160,42.06618105,51.68885457,32.44350754,58.57386315
"Loblolly / shortleaf pine",100,84.08459794,8.075448981,160,44.51699246,53.11458006,35.91940486,39.56760548
"Loblolly / shortleaf pine",110,85.72870774,13.23135996,160,48.66998421,57.3962689,39.94369952,37.05872353
"Loblolly / shortleaf pine",120,65.16031272,4.563880187,160,47.46904102,59.30239757,35.63568447,17.6912717
"Loblolly / shortleaf pine",130,75.95243727,1.670178511,160,47.52347815,76.06329099,18.98366532,28.42895912
"Loblolly / shortleaf pine",140,42.57128133,0,160,NA,NA,NA,NA
"Loblolly / shortleaf pine",160,123.1004545,0,160,55.03592761,98.04839218,12.02346304,68.06452689
"Loblolly / shortleaf pine",170,22.26422863,5.084254033,160,NA,NA,NA,NA
"Lodgepole pine",0,58.3931622,3.207402881,280,6.965966965,9.000650859,4.93128307,51.427195235
"Lodgepole pine",10,36.59719386,1.369140665,280,15.07944903,17.11434185,13.04455621,21.51774483
"Lodgepole pine",20,35.44772189,1.34400025,280,38.18419489,40.35172897,36.01666081,-2.736473
"Lodgepole pine",30,42.08374667,1.724562761,280,41.54104375,44.93959293,38.14249458,0.542702919999996
"Lodgepole pine",40,50.20684712,2.302674093,280,54.05824344,57.54987755,50.56660933,-3.85139632
"Lodgepole pine",50,61.30574609,3.659386763,280,65.5368158,69.50363602,61.56999557,-4.23106971
"Lodgepole pine",60,66.45180403,3.398514534,280,71.21295022,75.28614783,67.13975262,-4.76114618999999
"Lodgepole pine",70,75.51816376,3.601120754,280,73.32646624,77.35157973,69.30135275,2.19169751999999
"Lodgepole pine",80,81.69167665,3.650436228,280,75.71552181,79.70031025,71.73073337,5.97615484000001
"Lodgepole pine",90,91.67772465,3.855958476,280,81.39002631,85.38976478,77.39028785,10.28769834
"Lodgepole pine",100,87.44076869,3.937617156,280,90.49303958,95.07702703,85.90905212,-3.05227089
"Lodgepole pine",110,92.32054504,4.124515803,280,93.32433912,98.02831418,88.62036406,-1.00379408000001
"Lodgepole pine",120,89.30155249,3.717165494,280,96.21414263,101.2309653,91.19731998,-6.91259013999999
"Lodgepole pine",130,99.85881969,4.982047468,280,103.8933186,109.5385517,98.24808543,-4.03449891
"Lodgepole pine",140,105.3334559,7.561276998,280,117.0014804,124.0924596,109.9105013,-11.6680245
"Lodgepole pine",150,89.32512815,5.987632272,280,117.0766343,125.648923,108.5043457,-27.75150615
"Lodgepole pine",160,137.9259659,11.64042852,280,120.2718223,128.9661578,111.5774868,17.6541436
